Ticker,ATR,Reason,Side,ATR(x),ATR Used,Risk,Position,Position(R),Entry Price,STOP LOSS PRICE,Exit Price,Entry Date,Exit Date,Realized R,Realized gains,Curncy,,Day 2 Date,Day 2 High,Day 2 Low,Day 2 Open,Day 2 Close,Day 3 Date,Day 3 High,Day 3 low,Day 3 open,Day 3 close,Day 4 Date,Day 4 High,Day 4 low,Day 4 open,Day 4 close,Day 5 Date,Day 5 High,Day 5 low,Day 5 open,Day 5 close
AMAT US Equity,4.7,CIR+(cowen),long,2,9.4,2500,265.96,300,119.96,110.56,113.93,02/16/2021,02/25/2021,-0.72,-1808.01,USD,,2/17/2021,117.06,117.06,116.46,115.71,2/18/2021,115.63,115.63,114,113.43,2/19/2021,124.5,124.5,121.61,119.46,2/22/2021,119.8699,119.8699,117.97,115.23
AYA CN Equity,0.35,AH+,long,1.5,0.53,3200,6077.87,6000,4.91,4.38,5.05,02/16/2021,02/25/2021,0.27,862.8,CAD,,2/17/2021,5.18,5.18,5.07,5.09,2/18/2021,5.17,5.17,5.12,4.75,2/19/2021,4.98,4.98,4.7,4.92,2/22/2021,6.14,6.14,5.12,5.55
ANET US Equity,11.3,,long,2,22.59,2500,110.66,111,283.82,261.22,280.26,02/23/2021,02/25/2021,-0.16,-394.61,USD,,2/24/2021,289.23,289.23,283.7,286.36,2/25/2021,288.31,288.31,286.85,280.26,2/26/2021,284.71,284.71,282.07,279.84,3/1/2021,289.06,289.06,282.5,287.94
CMPS US Equity,3.34,XR+,long,1,3.34,2000,598.27,598,45.92,42.58,48.21,02/03/2021,02/25/2021,0.68,1368.64,USD,,2/4/2021,47.3028,47.3028,46,46.18,2/5/2021,48,48,46.93,45.25,2/8/2021,48,48,46.77,45.8,2/9/2021,46.67,46.67,46.5,44.72
GBTC UV Equity,5.2,TA,long,1,5.2,2000,384.62,384,39,33.8,45.64,01/15/2021,02/25/2021,1.27,2548.42,USD,,1/19/2021,40.98,40.98,40.85,38.055,1/20/2021,37.18,37.18,37.17,35.35,1/21/2021,33.01,33.01,32.59,31.935,1/22/2021,34.99,34.99,32.81,34.45
SPY US Equity,4.5,hedge,short,1,4.5,3000,667.04,667,376.17,380.66,382.33,01/28/2021,02/25/2021,-1.37,-4111.39,USD,,1/29/2021,376.67,376.67,375.63,370.07,2/1/2021,377.34,377.34,373.72,376.23,2/2/2021,383.22,383.22,379.65,381.55,2/3/2021,383.7,383.7,382.435,381.85
SPY US Equity,5.13,hedge,short,1,5.13,2000,389.86,400,368,373.13,382.33,01/29/2021,02/25/2021,-2.87,-5732,USD,,2/1/2021,377.34,377.34,373.72,376.23,2/2/2021,383.22,383.22,379.65,381.55,2/3/2021,383.7,383.7,382.435,381.85,2/4/2021,386.24,386.24,382.96,386.19
GBTC UV Equity,3.7,TA,long,1,3.7,2000,540.54,540,35.15,31.45,45.64,01/29/2021,02/25/2021,2.83,5662.71,USD,,2/1/2021,34.36,34.36,34.04,33.95,2/2/2021,37.06,37.06,34.97,36.8,2/3/2021,38.3,38.3,37.75,38.06,2/4/2021,38.63,38.63,38.54,37.96
YOLO US Equity,1.51,x2,long,2,3.01,3000,995.82,996,28.83,25.82,25.04,02/10/2021,02/25/2021,-1.26,-3776.04,USD,,2/11/2021,30.49,30.49,30.48,26.85,2/12/2021,27.98,27.98,26.35,27.07,2/16/2021,28.6299,28.6299,27.77,28.52,2/17/2021,28.41,28.41,28.39,27.76
HARV CN Equity,0.45,AH+,long,2,0.91,12000,13215.86,12500,4.94,4.03,4.8,02/04/2021,02/25/2021,-0.15,-1750,CAD,,2/5/2021,5.22,5.22,4.97,5,2/8/2021,5.31,5.31,5.1,5.09,2/9/2021,5.47,5.47,5.47,5.15,2/10/2021,5.5,5.5,5.25,5.285
PSYK CN Equity,0.55,trend,long,1.5,0.82,3200,3885.85,3300,12.08,11.26,10.09,02/16/2021,02/25/2021,-2.05,-6563.7,CAD,,2/17/2021,12.1,12.1,12,11.65,2/18/2021,12,12,12,11.02,2/19/2021,11.3,11.3,11.05,11.25,2/22/2021,11.6,11.6,11.53,11.09
